date,sp500
1/2/14,1831.98
1/3/14,1831.37
1/6/14,1826.77
1/7/14,1837.88
1/8/14,1837.49
1/9/14,1838.13
1/10/14,1842.37
1/13/14,1819.2
1/14/14,1838.88
1/15/14,1848.38
1/16/14,1845.89
1/17/14,1838.7
1/20/14,.
1/21/14,1843.8
1/22/14,1844.86
1/23/14,1828.46
1/24/14,1790.29
1/27/14,1781.56
1/28/14,1792.5
1/29/14,1774.2
1/30/14,1794.19
1/31/14,1782.59
2/3/14,1741.89
2/4/14,1755.2
2/5/14,1751.64
2/6/14,1773.43
2/7/14,1797.02
2/10/14,1799.84
2/11/14,1819.75
2/12/14,1819.26
2/13/14,1829.83
2/14/14,1838.63
2/17/14,.
2/18/14,1840.76
2/19/14,1828.75
2/20/14,1839.78
2/21/14,1836.25
2/24/14,1847.61
2/25/14,1845.12
2/26/14,1845.16
2/27/14,1854.29
2/28/14,1859.45
3/3/14,1845.73
3/4/14,1873.91
3/5/14,1873.81
3/6/14,1877.03
3/7/14,1878.04
3/10/14,1877.17
3/11/14,1867.63
3/12/14,1868.2
3/13/14,1846.34
3/14/14,1841.13
3/17/14,1858.83
3/18/14,1872.25
3/19/14,1860.77
3/20/14,1872.01
3/21/14,1866.52
3/24/14,1857.44
3/25/14,1865.62
3/26/14,1852.56
3/27/14,1849.04
3/28/14,1857.62
3/31/14,1872.34
4/1/14,1885.52
4/2/14,1890.9
4/3/14,1888.77
4/4/14,1865.09
4/7/14,1845.04
4/8/14,1851.96
4/9/14,1872.18
4/10/14,1833.08
4/11/14,1815.69
4/14/14,1830.61
4/15/14,1842.98
4/16/14,1862.31
4/17/14,1864.85
4/18/14,.
4/21/14,1871.89
4/22/14,1879.55
4/23/14,1875.39
4/24/14,1878.61
4/25/14,1863.4
4/28/14,1869.43
4/29/14,1878.33
4/30/14,1883.95
5/1/14,1883.68
5/2/14,1881.14
5/5/14,1884.66
5/6/14,1867.72
5/7/14,1878.21
5/8/14,1875.63
5/9/14,1878.48
5/12/14,1896.65
5/13/14,1897.45
5/14/14,1888.53
5/15/14,1870.85
5/16/14,1877.86
5/19/14,1885.08
5/20/14,1872.83
5/21/14,1888.03
5/22/14,1892.49
5/23/14,1900.53
5/26/14,.
5/27/14,1911.91
5/28/14,1909.78
5/29/14,1920.03
5/30/14,1923.57
6/2/14,1924.97
6/3/14,1924.24
6/4/14,1927.88
6/5/14,1940.46
6/6/14,1949.44
6/9/14,1951.27
6/10/14,1950.79
6/11/14,1943.89
6/12/14,1930.11
6/13/14,1936.16
6/16/14,1937.78
6/17/14,1941.99
6/18/14,1956.98
6/19/14,1959.48
6/20/14,1962.87
6/23/14,1962.61
6/24/14,1949.98
6/25/14,1959.53
6/26/14,1957.22
6/27/14,1960.96
6/30/14,1960.23
7/1/14,1973.32
7/2/14,1974.62
7/3/14,1985.44
7/4/14,.
7/7/14,1977.65
7/8/14,1963.71
7/9/14,1972.83
7/10/14,1964.68
7/11/14,1967.57
7/14/14,1977.1
7/15/14,1973.28
7/16/14,1981.57
7/17/14,1958.12
7/18/14,1978.22
7/21/14,1973.63
7/22/14,1983.53
7/23/14,1987.01
7/24/14,1987.98
7/25/14,1978.34
7/28/14,1978.91
7/29/14,1969.95
7/30/14,1970.07
7/31/14,1930.67
8/1/14,1925.15
8/4/14,1938.99
8/5/14,1920.21
8/6/14,1920.24
8/7/14,1909.57
8/8/14,1931.59
8/11/14,1936.92
8/12/14,1933.75
8/13/14,1946.72
8/14/14,1955.18
8/15/14,1955.06
8/18/14,1971.74
8/19/14,1981.6
8/20/14,1986.51
8/21/14,1992.37
8/22/14,1988.4
8/25/14,1997.92
8/26/14,2000.02
8/27/14,2000.12
8/28/14,1996.74
8/29/14,2003.37
9/1/14,.
9/2/14,2002.28
9/3/14,2000.72
9/4/14,1997.65
9/5/14,2007.71
9/8/14,2001.54
9/9/14,1988.44
9/10/14,1995.69
9/11/14,1997.45
9/12/14,1985.54
9/15/14,1984.13
9/16/14,1998.98
9/17/14,2001.57
9/18/14,2011.36
9/19/14,2010.4
9/22/14,1994.29
9/23/14,1982.77
9/24/14,1998.3
9/25/14,1965.99
9/26/14,1982.85
9/29/14,1977.8
9/30/14,1972.29
10/1/14,1946.16
10/2/14,1946.17
10/3/14,1967.9
10/6/14,1964.82
10/7/14,1935.1
10/8/14,1968.89
10/9/14,1928.21
10/10/14,1906.13
10/13/14,1874.74
10/14/14,1877.7
10/15/14,1862.49
10/16/14,1862.76
10/17/14,1886.76
10/20/14,1904.01
10/21/14,1941.28
10/22/14,1927.11
10/23/14,1950.82
10/24/14,1964.58
10/27/14,1961.63
10/28/14,1985.05
10/29/14,1982.3
10/30/14,1994.65
10/31/14,2018.05
11/3/14,2017.81
11/4/14,2012.1
11/5/14,2023.57
