prob_q5_q1,i_urban,share_black,share_middleclass,share_divorced,share_married
0.0623789,1,0.1286175,0.46605,0.1072909,0.5691419
0.0602934,1,0.0563643,0.494,0.1075948,0.6102133
0.0659981,1,0.081826,0.54407,0.1193846,0.5827481
0.0578453,1,0.1332771,0.50396,0.110324,0.5433002
0.058857,1,0.1003783,0.52367,0.1199722,0.5651869
0.0492132,1,0.2129964,0.54389,0.1241887,0.546492
0.0497884,0,0.2055513,0.49919,0.1218685,0.5504197
0.0564055,1,0.0850979,0.4923,0.1128634,0.6107059
0.0498334,1,0.1747757,0.48633,0.1036031,0.460882
0.0349426,1,0.4398277,0.4788,0.0888239,0.5253097
0.0371475,1,0.3671388,0.46691,0.088146,0.5232719
0.0350166,0,0.5508916,0.41556,0.0759129,0.4939849
0.0444763,1,0.313579,0.47591,0.092615,0.5172917
0.0470519,1,0.1809076,0.50833,0.0924396,0.5669312
0.0410454,1,0.357035,0.45564,0.1035822,0.5283581
0.0311186,1,0.4238696,0.40359,0.0949512,0.5173835
0.0348706,0,0.3001277,0.42502,0.1046483,0.5209836
0.0325681,0,0.4342487,0.39063,0.0979972,0.5169018
0.0318443,1,0.2916284,0.4485,0.0993607,0.5344929
0.0443038,0,0.2323598,0.45219,0.103667,0.5838777
0.0469526,1,0.2392524,0.46459,0.1238277,0.5669392
0.0486111,1,0.3367942,0.55455,0.0905057,0.5793233
0.0388889,0,0.3250139,0.41928,0.0855437,0.4731896
0.0408506,1,0.3246413,0.471,0.1013605,0.5419729
0.0327103,1,0.3600176,0.46517,0.1090682,0.5259522
0.0483238,0,0.2602962,0.42877,0.1041732,0.5567345
0.0326511,0,0.4402921,0.44768,0.1041815,0.5054264
0.032054,0,0.3991556,0.44242,0.1048467,0.5167584
0.0453058,1,0.2967886,0.4393,0.1024405,0.5339476
0.040601,1,0.282508,0.50872,0.1150667,0.5306087
0.0376225,1,0.1802161,0.47294,0.0879483,0.4996479
0.0416667,0,0.1742727,0.53234,0.0959168,0.588008
0.0699456,1,0.0582216,0.52989,0.096033,0.6156201
0.0448569,0,0.2837061,0.45595,0.1048074,0.574609
0.0523539,1,0.1998627,0.51942,0.1068323,0.5704269
0.0348352,1,0.4061438,0.48676,0.1138379,0.4937057
0.0338983,1,0.4927536,0.42168,0.0924745,0.474656
0.034563,1,0.3627171,0.44611,0.0826493,0.4445972
0.0470417,1,0.2854086,0.47965,0.1079504,0.4792463
0.0579598,1,0.1131768,0.52136,0.1326959,0.563859
0.0386925,0,0.370431,0.39462,0.1089188,0.5218545
0.0324675,0,0.3550063,0.40755,0.1114746,0.528193
0.0277778,1,0.483597,0.40283,0.1006753,0.4936724
0.0229549,0,0.5015946,0.35359,0.0915586,0.4739467
0.0584416,1,0.2125489,0.48549,0.1073158,0.588684
0.0467633,0,0.3442973,0.44997,0.1012599,0.5199522
0.0362867,1,0.4528675,0.41583,0.0846792,0.5239118
0.0396293,0,0.400845,0.42766,0.0787482,0.4791254
0.0863388,1,0.059844,0.52196,0.1071563,0.6147603
0.0504781,1,0.2705701,0.45293,0.1076077,0.5528106
